Filter,PSNR,SSIM
Noisy,28.871691328626532,0.9338209791754635
Wiener,29.681349047132365,0.9506554237659428
TV,28.864307570554452,0.9334736745230584
BM3D,28.8701016292939,0.9344261245993537
RL,29.742998687108102,0.9517090492574471
