Filter,PSNR,SSIM
Noisy,29.263177198735523,0.5457204511322009
Wiener,30.653907517201375,0.5697105597772453
TV,29.262149617127893,0.545710619863168
BM3D,29.30004011014273,0.54949650568425
RL,30.65511475705938,0.5697073723782412
Wiener + RL,32.18388374836579,0.5866801531478427
RL + Wiener,32.18384327021085,0.5866763600534909
RL + RL,32.18478241339666,0.5866615413744213
Wiener + Wiener,32.182755494721555,0.586694759870944
