Filter,PSNR,SSIM
Noisy,29.02722847104583,0.9468283188606075
Wiener,29.94366114144108,0.9663905778595807
TV,29.019155443770355,0.9464121620118914
BM3D,29.027380043823637,0.947097003133568
RL,29.950259608809915,0.966499218510309
