Filter,PSNR,SSIM
Noisy,27.831153038884594,0.6505756809317521
Wiener,28.629964282703074,0.6655126669794998
TV,27.83074420545705,0.6505658159532827
BM3D,27.833042925436374,0.6507295651327166
RL,28.63055435938668,0.6655101466971955
