Filter,PSNR,SSIM
Noisy,28.28804951000218,0.7023015998042924
Wiener,29.04302432985356,0.7188319787225734
TV,28.286963969153096,0.7022608681491209
BM3D,28.296610968969297,0.7031164254554763
RL,29.096887868282117,0.7198683946983696
