Filter,PSNR,SSIM
Noisy,30.860539219687837,0.758718583851297
Wiener,32.07491387553027,0.8288414847867507
TV,30.860491146077404,0.7587161032201145
BM3D,30.86060322399472,0.7587214055760862
RL,32.05824147300287,0.8284701566619991
Wiener + RL,31.709678225938504,0.8468324511086243
RL + Wiener,32.600770403984235,0.8592193634436592
RL + RL,32.117814497504106,0.848285582769976
Wiener + Wiener,32.67390957561252,0.8604895166002011
