Filter,PSNR,SSIM
Noisy,28.934343179546527,0.85723535629356
Wiener,29.783720159289405,0.8699528978808386
TV,28.928032299064885,0.8570292246666361
BM3D,28.95494111950081,0.8619851509453933
RL,29.84692347100213,0.8708813008578157
