Filter,PSNR,SSIM
Noisy,28.466301517323263,0.9289153617911473
Wiener,29.283875098314567,0.9430309095683295
TV,28.465170432504017,0.9288745140233696
BM3D,28.464376757654634,0.9292646740230828
RL,29.34007311077922,0.9440047518279255
