SNR,MSNR,PSNR,SSIM
2,1.3589817,13.492568509827796,0.13430652220593536
5,3.4182956,17.498529026482196,0.2614852185606352
10,6.903408,20.551067141323145,0.38767297519378596
20,13.716165,23.53276024311105,0.5242368109965587
50,34.15773,27.49532142363328,0.697244888534655
100,66.554146,30.392184487645988,0.8038897661760133
