N-blocks,Mean (nm),Std-Dev (nm),Min FRC (nm),Max FRC (nm),SNR,NoiseType,Filter
256,1088.4040163703462,826.168054070345,50.0,2200.0,5,SaltPepper,TV
256,1174.1586061507937,736.7435656992026,183.33333333333334,2200.0,5,SaltPepper,RL
256,1089.8241408493818,852.9022332542569,50.0,2200.0,5,SaltPepper,BM3D
256,1121.1537388392858,812.6186736724395,50.0,2200.0,5,Mix,Wiener
256,1127.4306346294422,790.7235753238866,115.78947368421053,2200.0,5,Mix,TV
256,1107.061686653828,801.8726292520317,50.0,2200.0,5,Mix,RL
256,1061.6601783374213,841.6958157897386,50.0,2200.0,5,Mix,BM3D
256,1077.4222273358166,835.5350071838997,50.0,2200.0,10,Gaussian,Wiener
256,1117.5599727360777,828.6758470031425,50.0,2200.0,10,Gaussian,TV
256,1071.5634300595239,842.4778563376188,50.0,2200.0,10,Gaussian,RL
256,1065.485072905131,847.9399392461459,50.0,2200.0,10,Gaussian,BM3D
256,1044.6239013928898,799.5225483495897,50.0,2200.0,10,Poisson,Wiener
256,1047.5486346392117,786.2804368472636,53.658536585365844,2200.0,10,Poisson,TV
256,1064.7448265676858,766.1625558084779,70.96774193548386,2200.0,10,Poisson,RL
256,943.5897233188432,764.4787912665543,50.0,2200.0,10,Poisson,BM3D
256,1137.074453507486,819.3186605976886,50.0,2200.0,10,SaltPepper,Wiener
256,1184.9254239113407,775.0875517109786,115.78947368421053,2200.0,10,SaltPepper,TV
256,1154.5714076718737,832.8984059222863,50.0,2200.0,10,SaltPepper,RL
256,1051.7848144720288,809.3195127053295,50.0,2200.0,10,SaltPepper,BM3D
256,1094.9287604442964,824.8942081810885,50.0,2200.0,10,Mix,Wiener
256,1137.6365995115993,772.6144221127125,146.66666666666666,2200.0,10,Mix,TV
256,1086.099453984937,825.6536590714118,50.0,2200.0,10,Mix,RL
256,1070.2775282496127,837.3880612868428,50.0,2200.0,10,Mix,BM3D
256,1076.1898010409525,837.9391147057516,50.0,2200.0,20,Gaussian,Wiener
256,1129.0001449209349,847.0646927624457,51.162790697674424,2200.0,20,Gaussian,TV
256,1070.9414509542826,839.3249258464002,50.0,2200.0,20,Gaussian,RL
256,1072.3509191613966,830.1184129881226,50.0,2200.0,20,Gaussian,BM3D
256,1088.21846945575,835.5762839176867,50.0,2200.0,20,Poisson,Wiener
256,1081.4526766157078,822.7344288577449,50.0,2200.0,20,Poisson,TV
256,1096.643280858255,799.1943076925554,66.66666666666666,2200.0,20,Poisson,RL
256,1064.2764180064623,865.7188100711597,50.0,2200.0,20,Poisson,BM3D
256,1068.9775170200082,805.7715416853637,50.0,2200.0,20,SaltPepper,Wiener
256,1070.436310349699,782.498994039629,78.57142857142857,2200.0,20,SaltPepper,TV
256,1059.7575614470609,823.5007520070401,50.0,2200.0,20,SaltPepper,RL
256,1058.538774303559,824.8866433413908,50.0,2200.0,20,SaltPepper,BM3D
256,1110.0601831364663,835.329721979682,50.0,2200.0,20,Mix,Wiener
256,1125.6444259160585,792.8160136411693,95.65217391304348,2200.0,20,Mix,TV
256,1100.1189899534138,837.6705722104394,50.0,2200.0,20,Mix,RL
256,1057.2266702507986,821.539653439058,50.0,2200.0,20,Mix,BM3D
256,1069.2374361023983,830.0280324865874,50.0,2200.0,50,Gaussian,Wiener
256,1105.1921773198374,830.5605110705106,50.0,2200.0,50,Gaussian,TV
256,1131.6610854235419,800.0902211419993,100.0,2200.0,50,Gaussian,RL
256,1078.950643328978,836.9868293329043,50.0,2200.0,50,Gaussian,BM3D
256,1001.4784250758437,788.2024290323242,50.0,2200.0,50,Poisson,Wiener
256,999.4708180265836,761.7855976418288,50.0,2200.0,50,Poisson,TV
256,1059.5921900911844,777.0470040266449,57.89473684210527,2200.0,50,Poisson,RL
256,1009.0068728310649,819.6316182739833,50.0,2200.0,50,Poisson,BM3D
256,1055.990917596429,810.6559400851188,50.0,2200.0,50,SaltPepper,Wiener
256,1085.498976048542,779.4252682928156,115.78947368421053,2200.0,50,SaltPepper,TV
256,1097.8109132432917,784.3750627869247,115.78947368421053,2200.0,50,SaltPepper,RL
256,1096.2885498154583,855.2093440899592,50.0,2200.0,50,SaltPepper,BM3D
256,1039.738218809373,814.2494842025748,50.0,2200.0,50,Mix,Wiener
256,1047.9285196399321,775.9384081469397,68.75,2200.0,50,Mix,TV
256,1060.8247662203798,767.1236564908463,115.78947368421053,2200.0,50,Mix,RL
256,1013.5816592261906,825.2205879467097,50.0,2200.0,50,Mix,BM3D
256,1060.893446840234,824.6325116583221,50.0,2200.0,100,Gaussian,Wiener
256,1078.1975168235367,831.388739148242,50.0,2200.0,100,Gaussian,TV
256,1064.0575923165916,829.0387155434686,50.0,2200.0,100,Gaussian,RL
256,1100.5577256944443,868.7101417822753,50.0,2200.0,100,Gaussian,BM3D
256,988.6504175069499,800.1131326560679,50.0,2200.0,100,Poisson,Wiener
256,1027.2831081670483,806.6776120153066,50.0,2200.0,100,Poisson,TV
256,995.2340425554852,806.9518631378634,50.0,2200.0,100,Poisson,RL
256,979.0424560654582,808.0566246071857,50.0,2200.0,100,Poisson,BM3D
256,1114.3239165700288,832.8684992541346,50.0,2200.0,100,SaltPepper,Wiener
256,1154.1410495846872,805.6968270623199,87.99999999999999,2200.0,100,SaltPepper,TV
256,1164.9800993472204,809.8903273233708,87.99999999999999,2200.0,100,SaltPepper,RL
256,1054.5462915285639,836.7115876396397,50.0,2200.0,100,SaltPepper,BM3D
256,1115.3722076373324,846.1087148495626,50.0,2200.0,100,Mix,Wiener
256,1124.8801344578455,819.8136279636532,50.0,2200.0,100,Mix,TV
256,1143.0760846020698,862.6839928906943,50.0,2200.0,100,Mix,RL
256,1052.1010505364347,828.1525982012761,50.0,2200.0,100,Mix,BM3D
