Filter,PSNR,SSIM
Noisy,28.344481140490497,0.7759874458970087
Wiener,29.013480838905846,0.7857510237171376
TV,28.34056787960196,0.7758730899478905
BM3D,28.388491049167687,0.7809574283819134
RL,29.063375254455675,0.7865823013310962
