Filter,PSNR,SSIM
Noisy,29.76595136763836,0.948262877210818
Wiener,30.96904545833854,0.9656479816072676
TV,29.764038860536907,0.9481960012744793
BM3D,29.766527366895325,0.9484059840818946
RL,31.055411010563326,0.9667403504565617
