SNR,FairSIM_PSNR,FairSIM_SSIM,SimCheck_PSNR,SimCheck_SSIM
2,23.98650078005138,0.41470414548549484,23.86154930990872,0.4092809422707062
5,27.935242883188074,0.5963681825761549,27.613448507133345,0.5825416118146112
10,30.99074027287145,0.7269670243340336,30.214863793506908,0.6998649883779724
20,33.98450229789013,0.8378095683251324,32.48069953841997,0.7987319879105947
50,32.06890119145265,0.829797785398347,28.83690634831498,0.690388397906792
