SNR,Noisy_PSNR,Noisy_SSIM,Wiener_PSNR,Wiener_SSIM,TV_PSNR,TV_SSIM,RL_PSNR,RL_SSIM,BM3D_PSNR,BM3D_SSIM
2,20.775606026403594,0.4304840704374709,19.17752116308545,0.3643974703903542,23.087155906483694,0.4471011312296843,19.045290035508533,0.35525347228404863,21.409574439456964,0.41227012427268533
5,26.71433828385875,0.6179861806886083,27.142995521185323,0.6532964355237755,27.285213435005605,0.6181223759701903,24.541786999980026,0.6483081480014445,24.66831318255317,0.6076962342270315
10,26.10917949042964,0.6721927887683704,27.189113981161576,0.7297319119797094,25.543176225393793,0.6520074264904167,25.215596452558415,0.7395194492400933,23.4203517303879,0.6164498664181169
20,32.29348230390159,0.8155227599093475,31.452033706756648,0.8304185450585154,31.141852716627536,0.8060706183119328,33.39095013432673,0.8156746965439315,30.326218529146875,0.9062875060192425
50,38.14646150130468,0.9289078966376564,37.605379439708024,0.9322482516097291,36.14482701332372,0.9230460639407784,35.10276130381299,0.9292412618615308,28.942652005451627,0.9387360773076942
100,42.49266754094185,0.9624454996825663,42.43843552339211,0.9644330817536146,40.3620072601393,0.9589776350298185,38.520906434888865,0.9606942268841359,28.101368636888807,0.938964101886621
