Filter,PSNR,SSIM
Noisy,29.33704443437245,0.9539567782316509
Wiener,30.318638358805963,0.9722809815818949
TV,29.335278749585243,0.9538792928621282
BM3D,29.337097002965,0.9540564416088936
RL,30.392042393324303,0.9733928599061125
