Filter,PSNR,SSIM
Noisy,36.128447287151765,0.8743915039282171
Wiener,36.82090383802379,0.9186852732513707
TV,36.128389724080755,0.8743892688570187
BM3D,36.12857718573319,0.8743959905889407
RL,36.80872618146017,0.9183870892177386
Wiener + RL,35.93919406303573,0.9310185512318642
RL + Wiener,36.36350118737874,0.9381352432219949
RL + RL,36.121448337891366,0.9315609470966856
Wiener + Wiener,36.4087119611813,0.9389502610641931
