Filter,PSNR,SSIM
Noisy,26.35545846317798,0.5952834282914208
Wiener,26.840888267637542,0.6082358417106197
TV,26.35502182604892,0.5952637006157341
BM3D,26.384035252842096,0.5969116010355741
RL,26.872199201935356,0.6091863629888964
